what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1606579790769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606579824696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606579824796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606579827221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606579842310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1606580010903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580024277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580055255
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1606580066806
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1606580066846
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1606580067032
error,log,,,"Internal Error",1606580086500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580140569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580146551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1606580148315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580157688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580181970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580243075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580248703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1606580250999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580273417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580278037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1606580280614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580325233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580325374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580354474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580381183
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1606580442138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606580442733
